--- Cầu thủ mới được thêm vào ngày 16/12/2025 ---
  - ID: c20bdcd7, Tên: Reinildo Mandava
  - ID: c15cb409, Tên: Mateus Mane
  - ID: 0e0102eb, Tên: Omar Marmoush
  - ID: 3a27f1bf, Tên: Callum Marshall
  - ID: 48a5a5d6, Tên: Gabriel Martinelli
  - ID: 7956236f, Tên: Emiliano Martínez
  - ID: bac46a10, Tên: Lisandro Martínez
  - ID: 57df7a11, Tên: Arthur Masuaku
  - ID: feb5d972, Tên: Pape Matar Sarr
  - ID: 50e6dc35, Tên: Jean-Philippe Mateta
  - ID: 00963611, Tên: Konstantinos Mavropanos
  - ID: 6a021e43, Tên: Eliezer Mayenda
  - ID: 9a85a651, Tên: Ezra Mayers
  - ID: b74277a0, Tên: Noussair Mazraoui
  - ID: 6afaebf2, Tên: Bryan Mbeumo
  - ID: 96593e89, Tên: James Mcatee
  - ID: 90f91999, Tên: John McGinn
  - ID: fc15fb84, Tên: Dwight McNeil
  - ID: ca22ccb0, Tên: Hannibal Mejbri
  - ID: d080ed5e, Tên: Mikel Merino
  - ID: b05f4787, Tên: Antoni Milambo
  - ID: bee704fc, Tên: Nikola Milenković
  - ID: 2c6835e5, Tên: Lewis Miley
  - ID: 2f90f6b8, Tên: James Milner
  - ID: c478319d, Tên: Veljko Milosavljević
  - ID: 8397a50c, Tên: Tyrone Mings
  - ID: c3cf087d, Tên: Yankuba Minteh
  - ID: 5cbd1eb0, Tên: Tyrick Mitchell
  - ID: 74618572, Tên: Kaoru Mitoma
  - ID: 0f41e2ee, Tên: Morato
  - ID: dc1ce4f5, Tên: Cristhian Mosquera
  - ID: 1e159d70, Tên: Yerson Mosquera
  - ID: 9674002f, Tên: Mason Mount
  - ID: ac73ec79, Tên: Nordi Mukiele
  - ID: 597610cd, Tên: Romaine Mundle
  - ID: 2acf0cd7, Tên: Marshall Munetsi
  - ID: a755db8c, Tên: Rodrigo Muniz
  - ID: 778ef829, Tên: Daniel Muñoz
  - ID: 1704b0b8, Tên: Murillo
  - ID: de112b84, Tên: Jacob Murphy
  - ID: 30d4a2e5, Tên: Vitaliy Mykolenko
  - ID: 9affc5f2, Tên: David Møller Wolfe
  - ID: 5ed97752, Tên: Iliman Ndiaye
  - ID: 8e697a8f, Tên: Dan Ndoye
  - ID: a47ad0f5, Tên: Dan Neil
  - ID: c5bdb6e3, Tên: Reiss Nelson
  - ID: 7ba2eaa9, Tên: Pedro Neto
  - ID: 022eca88, Tên: Rio Ngumoha
  - ID: a53649b7, Tên: Eddie Nketiah
  - ID: 0cc5f4a5, Tên: Lukas Nmecha
  - ID: e6af02e0, Tên: Matheus Nunes
  - ID: 7f94982c, Tên: Ethan Nwaneri
  - ID: df0a4c90, Tên: Christian Nørgaard
  - ID: 25f2ef01, Tên: Jake O'Brien
  - ID: 8092d497, Tên: Luke O'Nien
